event_id,timestamp,user_id,role,team,workstream_tag,tool,provider,model,request_type,input_tokens,output_tokens,estimated_cost_usd,remaining_pool_usd,cap_position_pct,warning_threshold,escalation_state,velocity_signal,value_signal,risk_signal,review_burden,recommended_posture,outcome_note
evt-c02-v2-001,2026-06-19T09:07:00-04:00,user_02,Project Leadership,Data Insights,market-scan,internal-copilot,azure-ai,local-summary,summarization,21106,5615,0.35,7200.64,50.4,caution,notify-user,80,83,49,61,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-002,2026-06-19T10:14:00-04:00,user_03,Operations,Platform,market-scan,chat,anthropic,premium-reasoning,code-review,63066,8624,16.28,9585.94,82.9,hard-cap-risk,budget-owner-review,67,63,22,42,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-003,2026-06-19T11:21:00-04:00,user_04,Marketing,Finance Planning,proposal-review,internal-copilot,anthropic,balanced-general,summarization,68289,7932,10.77,13432.47,47.2,caution,none,40,55,18,81,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-004,2026-06-19T12:28:00-04:00,user_05,Operations,Data Insights,budget-analysis,internal-copilot,azure-ai,balanced-general,analysis,47104,2126,13.39,6799.93,47.5,hard-cap-risk,budget-owner-review,25,87,5,20,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-005,2026-06-19T13:35:00-04:00,user_06,Project Leadership,Finance Planning,market-scan,document-assistant,anthropic,local-summary,classification,16992,6765,4.35,12639.28,36.3,hard-cap-risk,manager-review,24,94,60,74,Restricted,sample event for dashboard and velocity prioritization demo
evt-c02-v2-006,2026-06-19T14:42:00-04:00,user_07,Finance,Finance Planning,project-risk,document-assistant,anthropic,premium-reasoning,drafting,35027,7740,12.93,15913.85,85.7,warning,budget-owner-review,25,24,34,36,Restricted,sample event for dashboard and velocity prioritization demo
evt-c02-v2-007,2026-06-19T15:49:00-04:00,user_08,Finance,Proposal Ops,budget-analysis,vscode-extension,azure-ai,balanced-general,summarization,11391,2381,16.52,24597.47,45.3,caution,budget-owner-review,83,69,23,42,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-008,2026-06-19T16:56:00-04:00,user_01,Finance,Proposal Ops,budget-analysis,vscode-extension,azure-ai,local-summary,classification,64389,6378,18.22,6133.78,66.6,hard-cap-risk,budget-owner-review,28,81,6,55,Controlled Acceleration,sample event for dashboard and velocity prioritization demo
evt-c02-v2-009,2026-06-19T17:03:00-04:00,user_02,Finance,Proposal Ops,market-scan,vscode-extension,anthropic,balanced-general,code-review,41601,6249,7.34,13116.72,89.9,normal,none,22,30,41,30,Full Speed,sample event for dashboard and velocity prioritization demo
evt-c02-v2-010,2026-06-19T08:10:00-04:00,user_03,Engineering,Proposal Ops,budget-analysis,document-assistant,azure-ai,premium-reasoning,classification,6494,322,10.01,4078.09,60.6,normal,manager-review,87,84,80,82,Budget-Aware Acceleration,sample event for dashboard and velocity prioritization demo
